target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Mg2O4Si1,0.0,SiO2 + 2 MgO -> Mg2SiO4,-0.056,1523,-0.038,0.0,-0.03,-0.386
Mg2O4Si1,0.0,MgSiO3 + MgO -> Mg2SiO4,-0.048,873,-0.034,0.0,-0.027,-0.428
Mg1O5Si2,0.167,MgO + 2 SiO2 -> MgSi2O5,0.26,1823,0.312,0.039,0.227,0.193
Bi25Ga1O39,0.021,Bi2O3 + 0.04 Ga2O3 -> 0.08 GaBi25O39,-0.05,1073,0.149,0.21,0.135,0.011
Bi2Ga4O9,0.0,Bi2O3 + 2 Ga2O3 -> Ga4Bi2O9,-0.199,1073,-0.031,0.052,-0.035,-0.035
Bi2Ga4O9,0.0,Bi2O3 + 2 Ga2O3 -> Ga4Bi2O9,-0.089,1223,-0.013,0.026,-0.014,-0.014
Bi1Ga1O3,0.002,Bi2O3 + Ga2O3 -> 2 GaBiO3,-0.168,1073,0.031,0.124,0.026,0.026
Lu2O7Ti2,0.022,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.017,1073,0.039,0.028,0.027,0.027
Lu2O7Ti2,0.022,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.024,1473,0.043,0.034,0.03,0.03
Lu2O7Ti2,0.022,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.029,1723,0.045,0.037,0.031,0.031
Lu2O7Ti2,0.022,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.022,1373,0.042,0.032,0.029,0.029
Lu1O3Ti1,0.062,Ti2O3 + Lu2O3 -> 2 LuTiO3,0.005,1893,0.544,0.539,0.457,0.27
Mn1O3Sn1,0.0,MnO + SnO2 -> MnSnO3,-0.054,673,0.261,0.315,0.226,0.077
Mo1O4Tl2,0.0,Tl2O3 + MoO3 -> O2 + Tl2MoO4,-0.091,1073,0.002,0.055,0.002,0.002
Mo1O4Tl2,0.0,Tl2CO3 + MoO3 -> Tl2MoO4 + CO2,-0.137,773,0.011,0.188,0.037,0.021
O8V2Zn3,0.031,V2O5 + 3 ZnO -> V2Zn3O8,-0.024,873,0.06,0.028,0.038,0.026
O8V2Zn3,0.031,V2O5 + 3 ZnO -> V2Zn3O8,-0.025,1273,0.069,0.031,0.044,0.003
O7V2Zn2,0.0,ZnO + 0.5 V2O5 -> 0.5 V2Zn2O7,-0.084,863,-0.044,0.0,-0.038,-0.038
O4V2Zn1,0.072,ZnO + V2O3 -> V2ZnO4,-0.054,1273,0.201,0.255,0.176,0.146
Mn2O7Tm2,0.0,MnO2 + 0.5 Tm2O3 -> 0.5 Tm2Mn2O7,-0.105,1073,-0.003,0.034,-0.008,-0.008
Mn1O3Tm1,0.0,2 Tm2O3 + 4 MnO2 -> O2 + 4 TmMnO3,-0.121,1473,0.008,0.051,-0.0,-0.043
Mn1O3Tm1,0.0,2 Tm2O3 + 4 MnO2 -> O2 + 4 TmMnO3,-0.141,1673,0.002,0.052,-0.006,-0.046
Al1Cr1O3,0.176,Al2O3 + Cr2O3 -> 2 AlCrO3,0.152,1773,0.186,0.032,0.138,0.138
Bi3Er1O6,0.042,Bi2O3 + 0.3333 Er2O3 -> 0.6667 Er(BiO2)3,-0.035,873,0.011,0.032,0.01,0.01
Bi3Er1O6,0.042,Bi2O3 + 0.3333 Er2O3 -> 0.6667 Er(BiO2)3,-0.079,1373,0.011,0.042,0.006,0.006
Bi1Er1O3,0.031,Er2O3 + Bi2O3 -> 2 ErBiO3,-0.063,1073,-0.011,0.021,-0.011,-0.011
O2S1Y2,0.0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.239,1473,0.956,0.717,0.776,0.776
O2S1Y2,0.0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.239,1423,0.989,0.751,0.804,0.804
O2S1Y2,0.0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.239,1523,0.923,0.684,0.748,0.748
O2S1Y2,0.0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.239,1373,1.022,0.784,0.831,0.831
O2S1Y2,0.0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.238,1073,1.219,0.98,0.997,0.997
