target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.083861234,373,0.083861234,0,0.06040016,0.043948812
Ba2Fe2O5,0,Fe2O3 + 2 BaCO3 -> Ba2Fe2O5 + 2 CO2,0.009543302,1473,0.046624159,0.026412325,0.035096072,-0.022671568
Co1O4W1,0,WO3 + CoCO3 -> CO2 + CoWO4,-0.135820467,1073,0.063154523,0.19897499,0.069634094,-0.053609128
Mg1O3Si1,0.005983803,MgO + SiO2 -> MgSiO3,-0.026335846,773,0.039884434,0.03311014,0.027499956,0.012391033
Mg1O3Si1,0.005983803,MgCO3 + SiO2 -> MgSiO3 + CO2,-0.196871997,1773,0.074797131,0.197922751,0.066210427,0.03789155
Mg1O3Si1,0.005983803,MgO + SiO2 -> MgSiO3,0.004932234,1903,0.055792814,0.02543029,0.039242255,0.039242255
Mg1O3Si1,0.005983803,MgO + SiO2 -> MgSiO3,-0.018035687,1073,0.044107337,0.031071512,0.030616967,0.030616967
Mg1O3Si1,0.005983803,MgO + SiO2 -> MgSiO3,-4.78614E-05,1723,0.053259072,0.026653467,0.037372048,0.037372048
Mg2O4Si1,0,SiO2 + 2 MgO -> Mg2SiO4,-0.057384188,1423,-0.038010637,0,-0.030445528,-0.392712178
Mg2O4Si1,0,SiO2 + 2 MgO -> Mg2SiO4,-0.054666018,1623,-0.038433684,0,-0.030252654,-0.379105629
Mg2O4Si1,0,SiO2 + 2 MgO -> Mg2SiO4,-0.056704646,1473,-0.038116399,0,-0.03039731,-0.389363307
Mg2O4Si1,0,Mg(HO)2 + 0.5 SiO2 -> H2O + 0.5 Mg2SiO4,-0.093357064,1073,-0.016650885,0.005315483,-0.022655823,-0.41546383
Mg2O4Si1,0,SiO2 + 2 MgO -> Mg2SiO4,-0.051268306,1873,-0.038962493,0,-0.030011562,-0.33869894
Mg2O4Si1,0,SiO2 + 2 MgO -> Mg2SiO4,-0.056025103,1523,-0.038222161,0,-0.030349091,-0.385992754
Mg2O4Si1,0,MgSiO3 + MgO -> Mg2SiO4,-0.04802703,873,-0.033715699,0,-0.026550289,-0.428051166
Mg1O5Si2,0.166630998,MgO + 2 SiO2 -> MgSi2O5,0.25956662,1823,0.311514468,0.038960886,0.227036156,0.192650846
Bi25Ga1O39,0.021356462,Bi2O3 + 0.04 Ga2O3 -> 0.08 GaBi25O39,-0.050160144,1073,0.14917138,0.209920886,0.134592575,0.010521414
Bi2Ga4O9,0,Bi2O3 + 2 Ga2O3 -> Ga4Bi2O9,-0.199331524,1073,-0.031026805,0.051614613,-0.034566466,-0.034566466
Bi2Ga4O9,0,Bi2O3 + 2 Ga2O3 -> Ga4Bi2O9,-0.088986545,1223,-0.013392539,0.026389774,-0.014237109,-0.014237109
Bi1Ga1O3,0.002005645,Bi2O3 + Ga2O3 -> 2 GaBiO3,-0.168304719,1073,0.031026805,0.124342005,0.0255586,0.0255586
Lu2O7Ti2,0.021920563,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.017212829,1073,0.039266497,0.028239663,0.027235294,0.027235294
Lu2O7Ti2,0.021920563,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.024242199,1473,0.042898472,0.033570336,0.02965374,0.02965374
Lu2O7Ti2,0.021920563,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.028633909,1723,0.045167606,0.036900758,0.031164702,0.031164702
Lu2O7Ti2,0.021920563,Lu2O3 + 2 TiO2 -> Lu2Ti2O7,-0.022485516,1373,0.041990819,0.032238167,0.029049355,0.029049355
Lu1O3Ti1,0.061941423,Ti2O3 + Lu2O3 -> 2 LuTiO3,0.004649967,1893,0.543749976,0.53910001,0.45705562,0.269800602
Mn1O3Sn1,0,MnO + SnO2 -> MnSnO3,-0.054127606,673,0.26071356,0.314841166,0.225985472,0.076517541
Mo1O4Tl2,0,Tl2O3 + MoO3 -> O2 + Tl2MoO4,-0.091076144,1073,0.002265626,0.054831006,0.002186008,0.002186008
Mo1O4Tl2,0,Tl2CO3 + MoO3 -> Tl2MoO4 + CO2,-0.136511473,773,0.011019539,0.187681764,0.037073757,0.021042323
O8V2Zn3,0.030573437,V2O5 + 3 ZnO -> V2Zn3O8,-0.024193507,873,0.059979086,0.028057531,0.037715747,0.025943736
O8V2Zn3,0.030573437,V2O5 + 3 ZnO -> V2Zn3O8,-0.025007989,1273,0.069035516,0.031347835,0.043595488,0.002702359
O7V2Zn2,0,ZnO + 0.5 V2O5 -> 0.5 V2Zn2O7,-0.08392582,863,-0.044001469,0,-0.038015609,-0.038015609
O4V2Zn1,0.072452512,ZnO + V2O3 -> V2ZnO4,-0.054055207,1273,0.201010374,0.255065581,0.175730489,0.145860765
Mn2O7Tm2,0,MnO2 + 0.5 Tm2O3 -> 0.5 Tm2Mn2O7,-0.105159584,1073,-0.002630702,0.034484445,-0.008487926,-0.008487926
Mn1O3Tm1,0,2 Tm2O3 + 4 MnO2 -> O2 + 4 TmMnO3,-0.121420456,1473,0.008290926,0.051145204,-0.000266425,-0.043077981
Mn1O3Tm1,0,2 Tm2O3 + 4 MnO2 -> O2 + 4 TmMnO3,-0.141091592,1673,0.002350462,0.052147494,-0.006439519,-0.045609719
Al1Cr1O3,0.176285461,Al2O3 + Cr2O3 -> 2 AlCrO3,0.151673039,1773,0.185968215,0.032490167,0.137598737,0.137598737
Bi3Er1O6,0.041608162,Bi2O3 + 0.3333 Er2O3 -> 0.6667 Er(BiO2)3,-0.03479726,873,0.011049782,0.031557557,0.009524876,0.009524876
