target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Cs3O2V1,0.284,0.61,0.001,0.65,0.366,0.371,0.999
Cs3O3V1,0.0,0.182,0.374,0.869,0.664,0.293,1.0
Cs4O5V3,0.243,0.51,0.0,0.666,0.107,0.684,0.997
Cs4O7V2,0.0,-0.091,0.722,0.895,0.722,0.819,1.0
Cs4O7V3,0.0,0.242,0.511,0.819,0.836,0.499,0.999
Cs4O7V5,0.331,0.599,0.0,0.415,0.479,0.244,0.998
Cs5O3V1,0.018,0.406,0.001,0.756,0.262,0.972,0.995
Cs5O4V1,0.0,0.119,0.079,0.846,0.49,0.909,1.0
Cs5O7V3,0.028,0.204,0.519,0.855,0.769,0.567,0.999
Cs6O4V1,0.0,0.313,0.002,0.812,0.342,0.789,0.999
Cs6O5V1,0.0,0.158,0.108,0.866,0.686,0.938,1.0
Cs6O5V2,0.0,0.269,0.001,0.797,0.156,0.839,0.995
Cs6O8V5,0.181,0.426,0.0,0.616,0.078,0.769,0.996
Cs7O5V1,0.0,0.194,0.077,0.836,0.771,0.927,1.0
Cs7O5V3,0.305,0.629,0.001,0.546,0.093,0.862,0.99
Cs7O6V1,0.0,0.267,0.116,0.879,0.728,0.986,1.0
Cs7O8V3,0.0,0.157,0.471,0.876,0.415,0.445,0.999
Cs8O5V1,0.0,0.234,0.005,0.815,0.478,0.852,0.999
Cs8O5V2,0.0,0.26,0.0,0.721,0.166,0.991,0.98
Cs8O7V2,0.0,0.137,0.101,0.855,0.625,0.756,1.0
Cs8O7V3,0.114,0.488,0.001,0.792,0.159,0.827,0.998
Ag2Cl1O1,0.07,-0.037,0.002,0.979,0.773,0.985,0.999
Ag2Cl2O5,0.195,0.242,0.638,0.944,0.464,0.989,1.0
Ag2Cl3O1,0.169,0.05,0.016,0.795,0.776,0.998,1.0
Ag3Cl1O1,0.049,0.013,0.252,0.963,0.607,1.0,0.996
Ag4Cl2O1,0.072,0.057,0.254,0.957,0.776,1.0,0.999
Ag4Cl7O1,0.075,0.095,0.024,0.737,0.818,1.0,1.0
Ag5Cl3O2,0.059,0.09,0.005,0.971,0.787,0.992,0.998
Ag7Cl3O2,0.069,0.048,0.249,0.96,0.683,1.0,0.998
O1Sb1Sr2,0.09,0.615,0.097,0.871,0.648,0.377,1.0
O1Sb2Sr2,0.018,0.623,0.2,0.812,0.676,0.749,1.0
O1Sb3Sr2,0.138,0.696,0.017,0.762,0.856,0.675,1.0
O1Sb3Sr4,0.061,0.722,0.248,0.842,0.905,0.5,1.0
O1Sb4Sr5,0.063,0.744,0.474,0.842,0.858,0.576,1.0
O1Sb5Sr3,0.086,0.725,0.034,0.824,0.891,0.507,1.0
O1Sb6Sr4,0.098,0.739,0.078,0.885,0.884,0.661,1.0
O2Sb1Sr2,0.073,0.407,0.025,0.797,0.469,0.934,1.0
O2Sb2Sr5,0.143,0.669,0.026,0.919,0.797,0.483,1.0
O2Sb4Sr5,0.106,0.684,0.131,0.809,0.839,0.666,1.0
O3Sb1Sr4,0.133,0.447,0.013,0.832,0.253,0.248,0.999
O3Sb2Sr2,0.104,0.372,0.011,0.555,0.594,0.132,1.0
O3Sb2Sr6,0.142,0.616,0.015,0.907,0.42,0.945,1.0
O3Sb4Sr5,0.118,0.613,0.016,0.775,0.834,0.506,1.0
O3Sb5Sr8,0.06,0.676,0.205,0.854,0.704,0.807,1.0
O4Sb1Sr1,0.192,0.159,0.821,0.859,0.788,0.766,1.0
O4Sb1Sr2,0.027,-0.034,0.75,0.871,0.531,0.332,1.0
O4Sb1Sr5,0.126,0.425,0.013,0.809,0.472,0.795,0.999
O4Sb2Sr1,0.037,0.038,0.023,0.646,0.518,0.484,1.0
O4Sb2Sr7,0.181,0.572,0.025,0.889,0.365,0.804,0.999
O5Sb2Sr2,0.062,0.044,0.217,0.705,0.341,0.201,1.0
O5Sb6Sr4,0.156,0.518,0.003,0.379,0.768,0.498,1.0
O5Sb7Sr3,0.108,0.528,0.002,0.313,0.66,0.814,1.0
O6Sb1Sr4,0.038,0.0,0.288,0.852,0.601,0.092,1.0
O6Sb1Sr5,0.114,0.228,0.002,0.772,0.479,0.964,1.0
O7Sb1Sr6,0.189,0.256,0.002,0.753,0.405,0.917,0.999
O7Sb2Sr1,0.254,0.167,0.321,0.868,0.561,0.705,0.999
O7Sb2Sr5,0.116,0.231,0.004,0.851,0.591,0.168,1.0
O7Sb3Sr2,0.135,0.178,0.624,0.686,0.744,0.312,1.0
O7Sb3Sr4,0.104,0.233,0.01,0.761,0.789,0.188,1.0
O7Sb4Sr3,0.119,0.242,0.009,0.508,0.385,0.338,1.0
O7Sb5Sr2,0.128,0.281,0.003,0.469,0.568,0.788,0.999
O8Sb2Sr5,0.086,0.058,0.013,0.871,0.646,0.265,1.0
O8Sb4Sr1,0.193,0.209,0.023,0.741,0.403,0.8,0.996
O8Sb4Sr3,0.134,0.179,0.011,0.579,0.572,0.323,1.0
Li1O2Te1,0.145,0.208,0.694,0.789,0.701,0.747,0.991
Li1O3Te2,0.191,0.315,0.032,0.874,0.527,0.626,0.995
Li1O5Te2,0.092,0.206,0.89,0.919,0.065,0.413,0.995
Li1O7Te3,0.069,0.22,0.81,0.929,0.053,0.448,0.997
Li2O1Te1,0.167,0.236,0.002,0.579,0.521,0.893,0.996
Li2O2Te1,0.213,0.143,0.053,0.517,0.371,0.531,0.993
Li2O3Te4,0.127,0.339,0.001,0.795,0.529,0.631,0.997
Li2O5Te3,0.224,0.316,0.096,0.857,0.739,0.677,0.991
Li2O7Te2,0.056,0.03,0.844,0.872,0.121,0.457,0.988
Li2O7Te3,0.066,0.078,0.885,0.895,0.747,0.642,0.997
Li3O4Te1,0.087,0.043,0.704,0.544,0.521,0.464,0.99
Li3O7Te2,0.091,0.122,0.966,0.769,0.337,0.513,0.991
Li3O7Te4,0.137,0.242,0.122,0.844,0.777,0.796,0.996
Li4O1Te2,0.074,0.352,0.003,0.649,0.757,0.167,0.998
Li4O1Te3,0.096,0.402,0.0,0.542,0.657,0.102,0.996
Li4O3Te2,0.161,0.198,0.014,0.549,0.58,0.683,0.997
Li4O7Te2,0.103,0.021,0.785,0.659,0.542,0.668,0.985
Li4O7Te3,0.145,0.176,0.809,0.709,0.559,0.569,0.996
Li5O1Te1,0.083,0.376,0.005,0.815,0.282,0.224,0.998
Li5O2Te1,0.139,0.239,0.015,0.678,0.302,0.455,0.994
Li5O2Te3,0.142,0.348,0.002,0.565,0.434,0.683,0.995
Li5O3Te1,0.119,0.187,0.043,0.586,0.295,0.373,0.997
Li5O3Te2,0.223,0.301,0.02,0.59,0.297,0.437,0.993
Li5O5Te1,0.066,0.027,0.213,0.551,0.556,0.617,0.98
Li5O8Te3,0.123,0.087,0.926,0.646,0.465,0.787,0.987
Li6O4Te1,0.167,0.126,0.032,0.565,0.246,0.48,0.993
Li6O7Te2,0.118,0.082,0.413,0.525,0.505,0.389,0.993
Li6O8Te1,0.136,0.138,0.055,0.55,0.418,0.585,0.89
Li7O2Te1,0.116,0.32,0.002,0.772,0.285,0.25,0.998
Li7O2Te5,0.112,0.383,0.0,0.548,0.663,0.707,0.997
Li7O5Te1,0.143,0.136,0.054,0.551,0.463,0.477,0.998
Li7O6Te1,0.123,0.079,0.215,0.547,0.43,0.666,0.991
Li8O1Te2,0.091,0.434,0.005,0.844,0.414,0.609,0.997
Li8O2Te3,0.108,0.336,0.003,0.716,0.42,0.702,0.997
Li8O5Te1,0.184,0.187,0.018,0.565,0.254,0.405,0.993
Li8O5Te2,0.188,0.232,0.02,0.589,0.286,0.453,0.995
Ba1O2Sn1,0.08,0.255,0.041,0.67,0.296,0.354,1.0
Ba1O3Sn2,0.055,0.268,0.024,0.358,0.369,0.14,1.0
Ba1O4Sn3,0.085,0.289,0.029,0.331,0.731,0.061,0.999
Ba1O6Sn2,0.155,0.168,0.935,0.762,0.45,0.017,0.999
Ba1O8Sn3,0.205,0.216,0.038,0.725,0.346,0.085,0.995
Ba2O1Sn1,0.066,0.613,0.07,0.879,0.564,0.407,1.0
Ba2O2Sn1,0.068,0.389,0.009,0.767,0.476,0.463,1.0
Ba2O7Sn5,0.13,0.312,0.027,0.332,0.28,0.132,0.999
Ba3O1Sn4,0.097,0.836,0.034,0.698,0.664,0.177,1.0
Ba3O1Sn5,0.084,0.86,0.121,0.687,0.61,0.253,1.0
Ba3O2Sn4,0.063,0.737,0.028,0.602,0.49,0.13,1.0
Ba3O4Sn1,0.042,0.17,0.436,0.806,0.333,0.404,1.0
Ba3O5Sn2,0.086,0.233,0.273,0.816,0.228,0.226,1.0
Ba3O8Sn5,0.135,0.323,0.02,0.407,0.237,0.226,1.0
Ba4O2Sn1,0.129,0.587,0.054,0.925,0.498,0.492,0.999
Ba4O3Sn2,0.162,0.515,0.076,0.793,0.328,0.149,1.0
Ba4O6Sn1,0.034,-0.024,0.707,0.824,0.533,0.44,1.0
Ba5O1Sn4,0.087,0.818,0.017,0.731,0.83,0.123,1.0
Ba5O1Sn8,0.123,0.906,0.186,0.717,0.669,0.081,1.0
Ba5O2Sn4,0.13,0.744,0.021,0.714,0.621,0.05,1.0
Ba5O3Sn1,0.128,0.507,0.026,0.9,0.4,0.345,1.0
Ba5O3Sn4,0.091,0.653,0.024,0.706,0.466,0.14,1.0
Ba5O4Sn3,0.094,0.529,0.029,0.765,0.413,0.07,1.0
Ba5O6Sn1,0.06,0.114,0.39,0.745,0.315,0.057,1.0
Ba5O6Sn4,0.09,0.453,0.054,0.7,0.164,0.191,1.0
Ba5O7Sn2,0.066,0.196,0.444,0.826,0.303,0.275,1.0
Ba5O7Sn3,0.084,0.301,0.001,0.804,0.238,0.288,1.0
Ba5O8Sn2,0.078,0.108,0.006,0.855,0.238,0.211,1.0
Ba5O8Sn3,0.11,0.237,0.272,0.83,0.157,0.057,1.0
Ba6O4Sn1,0.126,0.435,0.027,0.877,0.256,0.106,0.999
Ba6O5Sn1,0.23,0.351,0.005,0.802,0.292,0.174,1.0
Ba6O7Sn5,0.081,0.467,0.01,0.682,0.219,0.051,1.0
Ba7O1Sn3,0.104,0.844,0.022,0.941,0.86,0.238,0.998
Ba7O2Sn6,0.085,0.792,0.022,0.69,0.8,0.246,1.0
Ba7O3Sn2,0.168,0.673,0.081,0.935,0.619,0.227,0.999
Ba7O4Sn3,0.115,0.583,0.054,0.881,0.487,0.334,1.0
Ba7O4Sn6,0.077,0.676,0.039,0.687,0.492,0.368,1.0
Ba7O5Sn2,0.12,0.465,0.028,0.85,0.213,0.333,1.0
Ba7O6Sn1,0.205,0.313,0.007,0.792,0.279,0.356,1.0
Ba7O6Sn4,0.103,0.49,0.081,0.765,0.262,0.099,1.0
Ba8O3Sn5,0.172,0.737,0.021,0.844,0.725,0.062,1.0
Ba8O4Sn3,0.225,0.658,0.054,0.92,0.587,0.279,0.999
Ba8O6Sn1,0.214,0.387,0.018,0.842,0.46,0.832,1.0
Eu1O2Ti1,0.129,0.67,0.009,0.025,0.151,0.474,0.996
Eu1O3Ti2,0.174,0.779,0.004,0.025,0.542,0.104,0.971
Eu1O4Ti2,0.14,0.417,0.784,0.372,0.547,0.625,0.992
Eu1O4Ti3,0.19,0.818,0.003,0.068,0.334,0.529,0.968
Eu1O5Ti2,0.054,0.095,0.969,0.749,0.383,0.455,0.999
Eu1O5Ti3,0.201,0.548,0.004,0.286,0.452,0.766,0.982
Eu1O5Ti4,0.254,0.875,0.003,0.152,0.173,0.524,0.824
Eu1O6Ti3,0.156,0.343,0.89,0.681,0.356,0.443,0.994
Eu1O7Ti3,0.066,0.088,0.963,0.78,0.417,0.827,0.992
Eu1O7Ti4,0.183,0.463,0.605,0.605,0.321,0.64,0.934
Eu1O8Ti6,0.215,0.74,0.003,0.394,0.365,0.649,0.948
Eu2O3Ti1,0.081,0.535,0.001,0.141,0.196,0.883,0.996
Eu2O5Ti3,0.211,0.76,0.007,0.018,0.232,0.21,0.936
Eu2O7Ti5,0.198,0.804,0.002,0.04,0.361,0.199,0.969
Eu2O8Ti3,0.047,0.068,0.96,0.702,0.519,0.937,0.996
Eu3O4Ti1,0.123,0.533,0.003,0.332,0.423,0.99,0.996
Eu3O5Ti1,0.062,0.217,0.094,0.404,0.425,1.0,0.999
Eu3O5Ti2,0.099,0.6,0.001,0.065,0.162,0.905,0.996
Eu3O6Ti1,0.019,0.065,0.965,0.609,0.637,1.0,0.999
Eu3O6Ti2,0.04,0.336,0.728,0.177,0.189,0.964,0.999
Eu3O7Ti4,0.214,0.747,0.013,0.018,0.43,0.835,0.991
Eu3O8Ti2,0.037,0.04,0.989,0.67,0.46,0.93,0.998
Eu3O8Ti5,0.256,0.784,0.004,0.02,0.323,0.895,0.966
Eu4O5Ti1,0.178,0.532,0.008,0.493,0.267,0.998,0.986
Eu4O6Ti1,0.1,0.274,0.094,0.479,0.503,1.0,0.999
Eu4O7Ti1,0.027,0.095,0.244,0.57,0.632,1.0,0.998
Eu4O7Ti2,0.113,0.35,0.221,0.219,0.466,0.995,0.998
Eu4O7Ti3,0.173,0.64,0.004,0.048,0.274,0.792,0.982
Eu4O8Ti1,0.081,0.074,0.366,0.696,0.496,0.999,0.998
Eu5O7Ti2,0.165,0.574,0.002,0.235,0.329,0.988,0.994
Eu5O8Ti2,0.16,0.391,0.176,0.279,0.655,0.999,0.996
Eu5O8Ti3,0.146,0.596,0.001,0.087,0.187,0.96,0.993
Fe1Na1O1,0.302,0.412,0.001,0.697,0.369,0.986,0.858
Fe1Na5O5,0.016,0.054,0.233,0.905,0.281,0.663,0.999
Fe1Na6O5,0.043,0.068,0.262,0.885,0.241,0.799,0.999
Fe1Na6O6,0.1,0.12,0.169,0.899,0.166,0.527,0.999
Fe1Na6O7,0.071,0.118,0.071,0.906,0.36,0.993,0.998
Fe1Na7O4,0.067,0.163,0.002,0.835,0.153,0.622,1.0
Fe1Na7O6,0.032,0.094,0.271,0.879,0.172,0.549,1.0
Fe1Na8O5,0.05,0.11,0.172,0.835,0.37,0.665,1.0
Fe1Na8O7,0.096,0.141,0.303,0.876,0.243,0.824,0.999
Fe2Na2O3,0.143,0.169,0.447,0.841,0.216,0.476,0.974
Fe2Na4O7,0.079,-0.053,0.143,0.832,0.284,0.896,0.988
Fe2Na5O7,0.003,0.042,0.207,0.893,0.215,0.921,0.996
Fe2Na6O7,0.129,0.088,0.246,0.914,0.111,0.659,0.995
Fe3Na1O2,0.406,0.557,0.001,0.344,0.449,0.062,0.999
Fe3Na2O4,0.178,0.165,0.141,0.741,0.224,0.308,0.931
Fe3Na4O7,0.108,0.067,0.444,0.792,0.263,0.825,0.978
Fe3Na5O4,0.239,0.309,0.0,0.907,0.204,0.95,0.989
Fe3Na5O8,0.028,0.038,0.37,0.836,0.182,0.9,0.993
Fe3Na7O5,0.166,0.269,0.001,0.93,0.158,0.847,0.992
Fe4Na2O3,0.491,0.564,0.0,0.296,0.124,0.567,0.82
Fe4Na3O7,0.139,0.13,0.956,0.749,0.251,0.745,0.907
Fe4Na6O5,0.252,0.312,0.0,0.889,0.129,0.862,0.985
Fe5Na1O3,0.61,0.661,0.001,0.523,0.348,0.599,0.681
Fe5Na1O6,0.074,0.196,0.026,0.584,0.098,0.049,0.764
Fe5Na2O6,0.216,0.249,0.059,0.596,0.138,0.473,0.963
Fe5Na2O7,0.145,0.17,0.884,0.696,0.116,0.64,0.905
Fe5Na3O4,0.417,0.499,0.001,0.347,0.215,0.752,0.908
Fe5Na6O8,0.128,0.151,0.496,0.874,0.156,0.791,0.97
Fe5Na7O6,0.293,0.353,0.0,0.872,0.144,0.867,0.962
Fe6Na2O7,0.128,0.229,0.052,0.555,0.089,0.278,0.879
Fe7Na1O8,0.07,0.215,0.054,0.553,0.142,0.138,0.824
Fe7Na2O8,0.183,0.233,0.022,0.529,0.253,0.298,0.79
Ga1Gd1O1,0.133,0.866,0.002,0.364,0.843,0.794,0.998
Ga1Gd3O5,0.225,0.348,0.004,0.717,0.116,0.959,0.998
Ga1Gd4O6,0.239,0.408,0.007,0.627,0.279,0.713,0.999
Ga1Gd4O7,0.138,0.201,0.011,0.763,0.517,0.831,0.999
Ga1Gd5O6,0.23,0.67,0.002,0.32,0.151,0.814,0.997
Ga1Gd6O8,0.201,0.502,0.002,0.377,0.391,0.681,0.998
Ga2Gd1O3,0.171,0.426,0.009,0.465,0.233,0.875,0.996
Ga2Gd1O4,0.18,0.218,0.009,0.76,0.239,0.538,0.998
Ga2Gd2O1,0.085,1.146,0.0,0.329,0.307,0.945,0.988
Ga2Gd2O3,0.303,0.684,0.001,0.283,0.104,0.903,0.995
Ga2Gd2O5,0.218,0.318,0.008,0.501,0.218,0.783,0.998
Ga2Gd3O7,0.15,0.174,0.012,0.625,0.094,0.769,0.998
Ga2Gd5O8,0.209,0.4,0.001,0.673,0.1,0.868,0.997
Ga3Gd1O4,0.205,0.449,0.002,0.61,0.155,0.54,0.998
Ga3Gd2O5,0.279,0.495,0.016,0.334,0.094,0.582,0.997
Ga4Gd1O3,0.229,0.716,0.001,0.196,0.121,0.364,0.995
Ga4Gd1O5,0.165,0.434,0.002,0.638,0.227,0.736,0.995
Ga4Gd1O6,0.252,0.376,0.009,0.756,0.258,0.572,0.998
Ga4Gd1O7,0.111,0.14,0.052,0.808,0.266,0.09,0.998
Ga4Gd7O1,0.036,1.554,0.018,0.71,0.607,0.993,0.973
Ga5Gd1O6,0.148,0.433,0.002,0.632,0.298,0.679,0.998
Ga5Gd1O8,0.122,0.202,0.036,0.787,0.219,0.214,0.998
Ga5Gd4O1,0.068,1.26,0.014,0.634,0.584,0.985,0.992
Ga1K1O1,0.064,0.284,0.001,0.868,0.512,0.946,0.998
Ga1K2O2,0.08,0.183,0.002,0.923,0.824,0.855,0.999
Ga1K2O4,0.267,0.199,0.094,0.877,0.736,0.622,1.0
Ga1K3O2,0.069,0.206,0.003,0.902,0.83,0.975,1.0
Ga1K3O6,0.19,0.18,0.098,0.879,0.51,0.69,1.0
Ga1K4O1,0.101,0.358,0.004,0.495,0.052,0.895,0.996
Ga1K4O6,0.239,0.197,0.055,0.892,0.448,0.933,1.0
Ga1K4O7,0.328,0.267,0.058,0.884,0.295,0.789,1.0
Ga1K4O8,0.203,0.21,0.051,0.881,0.454,0.9,1.0
Ga1K5O1,0.094,0.341,0.005,0.431,0.118,0.938,0.995
Ga1K5O2,0.075,0.231,0.008,0.713,0.337,0.932,0.999
Ga1K5O3,0.079,0.141,0.002,0.879,0.605,0.999,1.0
Ga1K5O6,0.19,0.156,0.038,0.915,0.622,0.958,1.0
Ga1K5O7,0.238,0.201,0.035,0.892,0.374,0.917,1.0
Ga1K6O3,0.132,0.188,0.003,0.81,0.474,0.96,0.999
Ga1K6O4,0.021,0.085,0.001,0.905,0.837,0.954,1.0
Ga1K6O5,0.009,0.049,0.034,0.933,0.702,1.0,1.0
Ga1K7O4,0.069,0.11,0.002,0.861,0.28,0.957,1.0
Ga1K8O6,0.008,0.031,0.032,0.924,0.692,0.998,1.0
Ga2K2O3,0.101,0.09,0.001,0.877,0.775,0.76,0.999
Ga2K4O3,0.104,0.282,0.003,0.906,0.628,0.811,0.999
Ga2K6O5,0.073,0.109,0.002,0.93,0.819,0.967,1.0
Ga2K6O7,0.082,0.07,0.035,0.925,0.854,0.945,1.0
Ga2K8O5,0.069,0.153,0.002,0.891,0.303,0.976,0.999
Ga3K4O7,0.077,0.035,0.047,0.884,0.829,0.955,1.0
Ga3K5O7,0.078,0.053,0.932,0.905,0.896,0.945,0.999
Ga3K7O8,0.06,0.055,0.943,0.924,0.843,0.992,1.0
Ga4K2O3,0.173,0.491,0.001,0.61,0.643,0.789,0.999
Ga4K6O7,0.101,0.225,0.003,0.907,0.87,0.971,0.999
Ga5K1O3,0.127,0.612,0.0,0.332,0.466,0.529,0.998
Ga5K1O8,0.052,0.012,0.895,0.846,0.574,0.719,0.998
Ga5K3O4,0.155,0.476,0.001,0.723,0.707,0.897,0.999
Ga5K3O8,0.058,0.16,0.012,0.857,0.716,0.936,0.999
Ga5K6O8,0.082,0.228,0.003,0.891,0.862,0.974,0.999
Ga8K6O7,0.161,0.44,0.001,0.824,0.713,0.997,0.999
Al2Ca1O8,0.562,0.539,0.039,0.878,0.565,0.577,0.999
Al2Ca4O7,0.215,0.077,0.587,0.804,0.494,0.521,0.988
Al2Ca5O8,0.078,0.016,0.593,0.779,0.538,0.67,0.994
Gd1Ge2O1,0.205,0.882,0.001,0.457,0.533,0.5,0.999
Gd1Ge3O1,0.24,0.915,0.001,0.504,0.484,0.644,0.999
Gd2Ge1O2,0.116,0.759,0.066,0.726,0.406,0.844,0.999
Gd2Ge1O4,0.167,0.27,0.011,0.719,0.08,0.929,1.0
Gd2Ge6O1,0.33,1.061,0.016,0.672,0.609,0.833,1.0
Gd3Ge1O5,0.222,0.365,0.006,0.764,0.557,0.743,1.0
Gd3Ge2O7,0.161,0.245,0.022,0.725,0.396,0.96,1.0
Gd3Ge4O4,0.331,0.764,0.003,0.325,0.189,0.735,0.999
Gd3Ge7O1,0.137,1.067,0.02,0.776,0.702,0.895,1.0
Gd3Ge8O2,0.265,1.008,0.023,0.583,0.76,0.949,1.0
Gd4Ge1O4,0.095,0.757,0.027,0.452,0.175,0.954,0.998
Gd4Ge1O8,0.12,0.118,0.981,0.842,0.757,0.819,1.0
Gd4Ge3O2,0.101,1.068,0.002,0.828,0.505,0.998,1.0
Gd4Ge3O3,0.135,0.93,0.002,0.655,0.289,0.915,0.999
Gd4Ge3O6,0.359,0.616,0.001,0.403,0.383,0.916,0.999
Gd4Ge5O2,0.068,1.024,0.011,0.754,0.55,0.894,1.0
Gd4Ge7O1,0.047,1.099,0.054,0.918,0.703,0.861,1.0
Gd5Ge1O6,0.181,0.599,0.002,0.374,0.338,0.877,0.999
Gd5Ge2O1,0.0,1.454,0.008,0.101,0.513,0.803,0.999
Gd5Ge3O3,0.154,1.04,0.006,0.935,0.385,0.903,0.999
Gd5Ge6O2,0.134,1.095,0.011,0.708,0.709,0.895,1.0
Gd5Ge6O8,0.393,0.687,0.008,0.246,0.143,0.976,0.999
Gd5Ge7O1,0.071,1.15,0.098,0.84,0.739,0.977,1.0
Gd6Ge4O3,0.094,1.078,0.001,0.94,0.456,0.982,1.0
Gd7Ge3O1,0.0,1.479,0.007,0.073,0.471,0.987,0.999
Gd7Ge3O2,0.0,1.335,0.001,0.627,0.453,0.986,0.999
Gd7Ge4O8,0.212,0.722,0.001,0.633,0.558,0.98,0.999
Gd7Ge5O4,0.058,1.02,0.002,0.834,0.513,0.981,1.0
Gd7Ge5O6,0.245,0.918,0.01,0.65,0.363,0.993,0.999
Gd7Ge6O8,0.341,0.81,0.002,0.45,0.596,0.999,1.0
Gd7Ge8O3,0.061,1.062,0.012,0.654,0.643,0.996,1.0
Gd7Ge8O6,0.145,0.886,0.001,0.603,0.352,0.938,1.0
Gd8Ge5O2,0.042,1.267,0.004,0.984,0.614,0.996,1.0
Gd1In1O2,0.152,0.338,0.002,0.27,0.203,0.485,0.999
Gd1In2O1,0.043,0.769,0.004,0.022,0.43,0.57,1.0
Gd1In3O4,0.228,0.399,0.002,0.409,0.107,0.408,0.999
Gd1In3O5,0.162,0.233,0.006,0.546,0.092,0.479,0.999
Gd2In1O4,0.129,0.186,0.012,0.718,0.538,0.581,1.0
Gd2In2O1,0.079,1.057,0.001,0.043,0.518,0.832,0.998
Gd2In3O1,0.081,1.017,0.025,0.234,0.41,0.84,0.999
Gd2In5O1,0.18,0.997,0.059,0.809,0.511,0.535,1.0
Gd3In1O5,0.244,0.286,0.031,0.776,0.055,0.699,0.998
Gd3In5O4,0.202,0.68,0.001,0.013,0.339,0.368,1.0
Gd3In5O7,0.266,0.469,0.001,0.15,0.063,0.576,0.999
Gd3In5O8,0.14,0.348,0.004,0.228,0.087,0.58,0.999
Gd3In7O1,0.167,1.055,0.037,0.899,0.642,0.912,0.999
Gd3In8O2,0.085,0.907,0.012,0.629,0.613,0.881,1.0
Gd4In2O1,0.0,1.393,0.001,0.472,0.705,0.894,0.988
Gd4In2O3,0.019,0.925,0.001,0.681,0.343,0.87,0.996
Gd4In5O3,0.121,0.899,0.002,0.033,0.336,0.699,0.999
Gd4In5O7,0.377,0.582,0.001,0.12,0.092,0.574,0.999
Gd4In7O5,0.382,0.786,0.001,0.01,0.219,0.282,0.999
Gd5In2O2,0.0,1.277,0.001,0.401,0.776,0.909,0.99
Gd5In3O1,0.0,1.399,0.009,0.67,0.763,0.941,0.99
Gd5In7O3,0.1,0.974,0.027,0.084,0.406,0.865,0.999
Gd6In2O3,0.003,1.233,0.002,0.462,0.407,0.941,0.99
Gd6In7O5,0.139,0.864,0.002,0.037,0.542,0.96,0.998
Gd7In3O5,0.093,1.01,0.001,0.726,0.17,0.941,0.994
Gd1O1S2,0.088,0.707,0.008,0.95,0.575,0.783,0.996
Gd2O1S7,0.083,0.856,0.006,0.923,0.504,0.877,0.995
Gd2O3S3,0.106,0.647,0.002,0.954,0.8,0.959,0.998
Gd3O2S2,0.131,0.856,0.001,0.877,0.663,0.984,0.997
Gd3O2S8,0.095,0.832,0.001,0.931,0.783,0.979,0.997
Gd4O1S7,0.117,0.896,0.011,0.941,0.626,0.452,0.997
Gd4O3S1,0.184,1.269,0.006,0.307,0.289,0.992,0.997
Gd4O3S6,0.117,0.771,0.001,0.946,0.654,0.934,0.997
Gd5O1S4,0.165,1.253,0.005,0.66,0.724,0.888,0.994
Gd5O1S7,0.072,0.889,0.268,0.907,0.757,0.615,0.996
Gd5O4S3,0.134,0.765,0.008,0.892,0.735,0.879,0.997
Gd5O7S3,0.439,0.781,0.025,0.952,0.591,0.853,0.999
Gd6O5S1,0.136,1.223,0.002,0.346,0.323,0.984,0.995
Gd7O2S5,0.218,1.272,0.004,0.616,0.591,0.971,0.993
Gd7O4S5,0.185,0.946,0.003,0.861,0.797,0.839,0.997
Gd7O4S6,0.041,0.794,0.001,0.913,0.672,0.922,0.996
Gd7O5S2,0.138,1.231,0.006,0.3,0.716,0.997,0.995
Gd7O8S2,0.093,0.653,0.001,0.672,0.476,0.952,0.999
Gd8O5S3,0.172,1.242,0.002,0.312,0.695,0.989,0.994
O3Sr1Zn2,0.023,-0.008,0.773,0.717,0.71,0.108,0.973
O3Sr2Zn1,0.064,0.024,0.122,0.847,0.777,0.885,0.999
O4Sr1Zn2,0.186,0.028,0.022,0.681,0.867,0.959,0.994
O4Sr1Zn3,0.096,0.012,0.795,0.665,0.611,0.623,0.831
O4Sr3Zn1,0.081,0.022,0.04,0.806,0.529,0.938,0.999
O5Sr1Zn3,0.202,0.024,0.013,0.658,0.834,0.985,0.97
O5Sr1Zn4,0.084,-0.001,0.796,0.658,0.577,0.271,0.729
O5Sr2Zn1,0.223,0.1,0.37,0.84,0.801,0.909,1.0
O5Sr2Zn2,0.103,0.059,0.23,0.797,0.677,0.993,1.0
O5Sr2Zn3,0.099,0.029,0.766,0.789,0.651,0.667,0.99
O5Sr3Zn2,0.103,0.025,0.147,0.867,0.407,0.743,0.996
O5Sr4Zn1,0.093,0.022,0.026,0.78,0.5,0.999,0.999
O6Sr1Zn4,0.22,0.014,0.034,0.648,0.767,0.674,0.901
O6Sr1Zn5,0.086,-0.02,0.851,0.661,0.692,0.938,0.725
O6Sr3Zn2,0.051,0.031,0.08,0.838,0.823,0.885,1.0
O6Sr5Zn1,0.07,0.0,0.032,0.763,0.534,1.0,0.999
O7Sr1Zn5,0.149,-0.051,0.044,0.645,0.781,0.885,0.804
O7Sr1Zn6,0.119,-0.037,0.927,0.667,0.535,0.535,0.484
O7Sr2Zn3,0.234,0.06,0.216,0.713,0.86,0.908,0.996
